Título,Preço,Área,Preço por m²,Detalhes,Descrição 1,Descrição 2,Descrição 3
"SQNW 306 Bloco A
                                    NOROESTE, BRASILIA",,166,Preço ou área indisponível,"166 m²

4 quartos

1 planta",O horizonte é o seu mais novo privilégio,Descrição não encontrada,Apartamento 166 m²
"SHIS QI 7, LAGO SUL, BRASILIA",15000000,813,"18.450,18","813 m²


4 Quartos


4 Suítes


4 Vagas",Belíssima casa na SHIS Qi 07!,"VILLA148601 - Última atualização: 09/12/24 23:32
Eliane Amaral | Excellence


Casa com 4 Suítes à Venda na SHIS Qi 07, L... 10/12/24",Venda Casa 813 m²
"Condomínio Prive Morada Sul Etapa C, JARDIM BOTANICO, BRASILIA",2290000,400,"5.725,00","400 m²


3 Quartos


3 Suítes


4 Vagas",,"Conheça a Casa Verano, um refúgio moderno onde o conforto se alia à sustentabilidade. 

Localizada no Condomínio Privê M... 10/12/24",Venda Casa Condominio 400 m²
"Condomínio Residencial Santa Mônica, JARDIM BOTANICO, BRASILIA",1890000,400,"4.725,00","400 m²


4 Quartos


3 Suítes


2 Vagas",CONDOMÍNIO RESIDENCIAL SANTA MÔNICA - 3 SUÍTES - COM HABITE-SE - CASA ESPETACULAR -PERMUTA,"ACEITA PERMUTA - APTO SUDOESTE - APTO MENOR VALOR
ACEITA FINANCIAMENTO

ATENÇÃO PARA BÔNUS OFERECIDO:

R$ 40.000,00 de b... 10/12/24",Venda Casa Condominio 400 m²
"SQNW 307 Bloco F
                                    NOROESTE, BRASILIA",,74,Preço ou área indisponível,"74 m²

2 quartos

1 planta",Viva seu melhor momento,Descrição não encontrada,Apartamento 74 m²
"SHIS QI 29 Conjunto 7, LAGO SUL, BRASILIA",2200000,450,"4.888,89","450 m²


4 Quartos


3 Suítes


4 Vagas",ACEITA FINANCIAMENTO,"Soma imóveis: servir é o primeiro ato de amor.

 CASA DE 4 QUARTOS NA QI 29 – LAGO SUL
 ESPECIFICAÇÕES DA CASA:
 - Área ... 10/12/24",Venda Casa 450 m²
"SHIS QL 24, LAGO SUL, BRASILIA",12800000,854,"14.988,29","854 m²


4 Quartos


4 Suítes


6 Vagas",Casa nova com campo de Beach de Tênis.,"VILLA150383 - Última atualização: 09/12/24 23:31
SHIS QL 24 - LAGO SUL

Localizada em uma área nobre do Lago Sul, a casa... 10/12/24",Venda Casa 854 m²
"SQN 104, ASA NORTE, BRASILIA",1370000,112,"12.232,14","112 m²


3 Quartos


1 Suíte


1 Vaga",APARTAMENTO VAZADO COM 3 QUARTOS (1 SUÍTE) À VENDA NA SQN 104!,"APARTAMENTO VAZADO COM 3 QUARTOS (1 SUÍTE) À VENDA NA SQN 104!

Observação: As fotos 1, 5, 15, 19 e 26 são sugestões de ... 10/12/24",Venda Apartamento 112 m²
"SQNW 105 Bloco A
                                    NOROESTE, BRASILIA",3250000,193,"16.839,38","193 a 204 m²

4 quartos

2 plantas",O luxo refletido de forma única,Descrição não encontrada,Apartamento 193 a 204 m²
"SHIS QL 2, LAGO SUL, BRASILIA",20000000,1200,"16.666,67","1200 m²


5 Quartos


5 Suítes


8 Vagas",SHIS QL 2 - Casa com 5 quartos suíte à venda - com habite-se - Lago Sul,"SHIS QL 2 - Lago Sul

5 SUÍTES E COM HABITE-SE.

Alto padrão associado a sofisticação, requinte e linhas modernas, defin... 10/12/24",Venda Casa Condominio 1200 m²
"SHIS QI 9, LAGO SUL, BRASILIA",25000000,1046,"23.900,57","1046 m²


5 Quartos


5 Suítes


6 Vagas",Casa Térrea Ponta de Quadra! A arquitetura modernista de Heloísa Fogaça dá vida a cada detalhe dessa casa.,"Casa com 5 suítes à venda na SHIS QI 9, Lago Sul, Brasília

7 motivos para você se apaixonar por esta casa:

Arquitetura... 10/12/24",Venda Casa 1046 m²
"SQSW 103, SUDOESTE, BRASILIA",2200000,159,"13.836,48","159 m²


4 Quartos


2 Suítes


1 Vaga",", Marbella SQSW 103 - Apartamento 4 quartos (2 suítes, 1 quarto social e 1 quarto/varanda) + DCE e lavabo","SQSW 103 - Apartamento 4 quartos sendo 2 suítes, com 159,41m²...

Desfrute de momentos inesquecíveis neste amplo apartam... 10/12/24",Venda Apartamento 159 m²
"SQNW 302 Bloco H
                                    NOROESTE, BRASILIA",,69,Preço ou área indisponível,"69 m²

2 quartos

1 planta",Um convite à exclusividade,Descrição não encontrada,Apartamento 69 m²
"SHIS QI 23, LAGO SUL, BRASILIA",9900000,904,"10.951,33","904 m²


5 Quartos


5 Suítes


4 Vagas","Lago Sul, SHIS QI 23, Casa recém contruida com 904,31m², 5 suítes, aceita financiamento!","VILLA149012 - Última atualização: 09/12/24 23:30
Espetacular recém construída.

Projetada pela arquiteta Beatriz Garcia,... 10/12/24",Venda Casa 904 m²
"SQN 309, ASA NORTE, BRASILIA",1150000,80,"14.375,00","80 m²


2 Quartos


1 Suíte


1 Vaga","Canto, nascente e com vista livre.","VILLA150476 - Última atualização: 09/12/24 23:31
Oportunidade imperdível na SQN 309!

Apartamento totalmente reformado c... 10/12/24",Venda Apartamento 80 m²
"SQNW 104 Bloco J, NOROESTE, BRASILIA",3572971,197,"18.136,91","197 m²


3 Quartos


3 Suítes


4 Vagas",Apartamento ALTO PADRÃO NOROESTE,"A FUTURA NEGÓCIOS IMOBILIÁRIOS disponibiliza para Locação  : 

SQNW 303 - Residencial My Design 

SQNW 303 Apartamento d... 10/12/24",Venda Apartamento 197 m²
